x,y,z
Day,Week 1,2.5
Day,Week 2,3.0
Day,Week 3,2.8
Day,Week 4,3.2
Day,Week 5,2.9
Day,Week 6,3.5
Day,Week 7,3.3
Day,Week 8,2.7
Day,Week 9,2.5
Day,Week 10,2.6
Day,Week 11,2.8
Day,Week 12,2.9
Week,Week 1,2.5
Week,Week 2,3.0
Week,Week 3,2.8
Week,Week 4,3.2
Week,Week 5,2.9
Week,Week 6,3.5
Week,Week 7,3.3
Week,Week 8,2.7
Week,Week 9,2.5
Week,Week 10,2.6
Week,Week 11,2.8
Week,Week 12,2.9
Month,Week 1,2.2
Month,Week 2,2.7
Month,Week 3,2.5
Month,Week 4,3.0
Month,Week 5,2.8
Month,Week 6,3.2
Month,Week 7,3.1
Month,Week 8,2.6
Month,Week 9,2.4
Month,Week 10,2.5
Month,Week 11,2.7
Month,Week 12,2.8
Year,Week 1,2.0
Year,Week 2,2.5
Year,Week 3,2.3
Year,Week 4,2.8
Year,Week 5,2.6
Year,Week 6,3.0
Year,Week 7,2.9
Year,Week 8,2.4
Year,Week 9,2.2
Year,Week 10,2.3
Year,Week 11,2.5
Year,Week 12,2.6
Total,Week 1,2.5
Total,Week 2,3.0
Total,Week 3,2.8
Total,Week 4,3.2
Total,Week 5,2.9
Total,Week 6,3.5
Total,Week 7,3.3
Total,Week 8,2.7
Total,Week 9,2.5
Total,Week 10,2.6
Total,Week 11,2.8
Total,Week 12,2.9
