x,y,z
Monday,Day 1,1.8
Monday,Day 2,2.1
Monday,Day 3,1.9
Monday,Day 4,2.3
Monday,Day 5,2
Monday,Day 6,2.5
Monday,Day 7,1.7
Tuesday,Day 1,2
Tuesday,Day 2,2.2
Tuesday,Day 3,2.4
Tuesday,Day 4,2.1
Tuesday,Day 5,2.3
Tuesday,Day 6,2.6
Tuesday,Day 7,1.9
Wednesday,Day 1,2.2
Wednesday,Day 2,2.5
Wednesday,Day 3,2.3
Wednesday,Day 4,2.6
Wednesday,Day 5,2.4
Wednesday,Day 6,2.8
Wednesday,Day 7,2.1
Thursday,Day 1,2.3
Thursday,Day 2,2.6
Thursday,Day 3,2.5
Thursday,Day 4,2.7
Thursday,Day 5,2.6
Thursday,Day 6,2.9
Thursday,Day 7,2.2
Friday,Day 1,2.5
Friday,Day 2,2.7
Friday,Day 3,2.6
Friday,Day 4,2.8
Friday,Day 5,2.7
Friday,Day 6,3
Friday,Day 7,2.4
Saturday,Day 1,2.7
Saturday,Day 2,2.9
Saturday,Day 3,2.8
Saturday,Day 4,3.1
Saturday,Day 5,2.9
Saturday,Day 6,3.2
Saturday,Day 7,2.6
Sunday,Day 1,2.4
Sunday,Day 2,2.6
Sunday,Day 3,2.5
Sunday,Day 4,2.8
Sunday,Day 5,2.7
Sunday,Day 6,3
Sunday,Day 7,2.5
